Catcode,Project Category,Catorder
G2300,"Agriculture, Food, & Consumer Goods",A09
G2350,"Agriculture, Food, & Consumer Goods",N01
G2400,"Agriculture, Food, & Consumer Goods",A09
G2500,"Agriculture, Food, & Consumer Goods",A09
G2600,"Agriculture, Food, & Consumer Goods",N01
G2700,"Agriculture, Food, & Consumer Goods",N01
G2800,"Agriculture, Food, & Consumer Goods",N02
G2810,"Agriculture, Food, & Consumer Goods",N02
G2820,"Agriculture, Food, & Consumer Goods",N02
G2840,"Agriculture, Food, & Consumer Goods",N02
G2850,"Agriculture, Food, & Consumer Goods",N02
G2860,"Agriculture, Food, & Consumer Goods",N09
G2900,"Agriculture, Food, & Consumer Goods",N01
G2910,"Agriculture, Food, & Consumer Goods",N01
G3000,EXCLUDED,N12
G3500,EXCLUDED,N12
G4000,"Agriculture, Food, & Consumer Goods",N03
G4100,"Agriculture, Food, & Consumer Goods",N03
G4200,"Agriculture, Food, & Consumer Goods",N03
G4300,"Agriculture, Food, & Consumer Goods",N03
G4400,"Agriculture, Food, & Consumer Goods",N03
G4500,"Agriculture, Food, & Consumer Goods",N03
G4600,"Agriculture, Food, & Consumer Goods",N03
G4700,"Agriculture, Food, & Consumer Goods",N03
G4800,"Agriculture, Food, & Consumer Goods",N03
G4850,"Agriculture, Food, & Consumer Goods",N03
G4900,"Agriculture, Food, & Consumer Goods",N03
G5000,EXCLUDED,N04
G5100,EXCLUDED,N04
G5200,EXCLUDED,N05
G5210,EXCLUDED,N05
G5220,EXCLUDED,N05
G5230,EXCLUDED,N05
G5240,EXCLUDED,N05
G5250,EXCLUDED,N05
G5260,EXCLUDED,N05
G5270,EXCLUDED,N05
G5280,EXCLUDED,N05
G5290,EXCLUDED,N05
G5300,EXCLUDED,N04
G5400,EXCLUDED,N04
G5500,EXCLUDED,N04
G5600,EXCLUDED,N04
G5700,EXCLUDED,N04
G5800,EXCLUDED,N04
G6000,EXCLUDED,N06
G6100,EXCLUDED,N06
G6400,EXCLUDED,N06
G6500,EXCLUDED,N07
