,bioguide_id,AgFood,DefenseGlobal,EnergyTransport,Finance,Health,LaborEmployment
0,A000055,-0.015482758620689652,0.03732110091743118,0.02856589147286821,-0.09258041958041961,-0.0673095238095238,0.02263157894736842
1,A000210,0.020136363636363633,0.16892307692307693,-0.051022222222222226,-0.11591304347826084,0.2690833333333334,0.09175
2,A000360,0.22389473684210523,-0.12473684210526316,0.1225466666666667,-0.028277777777777773,0.03499999999999999,0.13856249999999995
3,A000361,0.004928571428571432,0.1995555555555556,-0.014149999999999996,-0.2745,0.34714285714285714,-0.06275
4,A000367,0.03216666666666667,0.009457627118644068,0.05863366336633663,-0.13667272727272725,-0.08280851063829789,0.0441875
5,A000368,0.17246153846153842,0.081,0.16449315068493153,0.15974999999999998,0.06504545454545453,0.14964705882352938
6,A000369,0.03244736842105262,0.04533027522935778,0.023050847457627123,-0.09177181208053695,-0.04483950617283951,-0.009947368421052632
7,A000370,-0.09058333333333334,-0.0026829268292682985,0.03889583333333332,0.019903846153846154,-0.02714545454545455,0.1204
8,A000371,-0.11945454545454544,-0.002931034482758625,0.0231685393258427,-0.03137168141592919,-0.03510344827586208,0.1204
9,A000372,-0.045125,-0.03744827586206897,0.10023157894736841,-0.07060344827586208,-0.06215384615384616,0.004428571428571429
10,A000373,-0.125,0.0863076923076923,0.03994594594594594,-0.01594736842105263,0.13679166666666667,-0.036000000000000004
11,A000374,-0.045125,-0.03240476190476191,0.10231578947368417,-0.07605172413793104,-0.05830645161290325,0.0454
12,A000375,0.02374999999999999,-0.08989361702127659,0.07223333333333333,-0.09771641791044774,-0.21571428571428575,0.06788888888888889
13,A000376,0.0,0.03614285714285714,0.3835,0.08499999999999999,0.5725,0.43
14,A000377,0.0,0.05688888888888889,0.3835,0.177,0.8809999999999999,0.248
15,A000378,0.0,0.026000000000000002,0.3835,0.08499999999999999,0.5725,0.43
16,B000013,-0.19361111111111107,0.245125,-0.015069767441860457,-0.19184375000000004,-0.018260869565217386,-0.0502
17,B000213,0.022135135135135126,0.044843137254901945,0.03815966386554621,-0.10594160583941606,-0.07057692307692309,-0.015588235294117644
18,B000243,0.46950000000000003,0.0,0.0,0.2806666666666667,0.0,0.005444444444444443
19,B000287,-0.15458333333333332,0.14479999999999998,0.036672413793103445,-0.004850000000000002,0.1631212121212121,-0.009857142857142858
20,B000490,-0.08816666666666666,0.048289999999999986,0.026119999999999973,-0.050777070063694245,-0.011915492957746483,0.04845454545454546
21,B000574,-0.08871874999999999,0.06831868131868131,0.02765822784810126,-0.03362096774193549,0.008725806451612897,0.04845454545454546
22,B000575,0.21427777777777773,-0.10197368421052631,0.10881578947368425,0.011095238095238076,0.0653939393939394,0.1378823529411764
23,B000589,-0.26375000000000004,-0.2465,0.12300000000000001,0.0,0.649,-0.154
24,B000711,0.38625,0.100375,0.17836363636363636,0.3672000000000001,0.14819999999999997,0.15119999999999997
25,B000755,0.014736842105263173,0.050805309734513276,0.04267716535433071,-0.09505442176870751,-0.05014285714285714,0.022368421052631583
26,B000911,-0.12216666666666669,0.16221153846153846,0.038582677165354316,-0.017147058823529415,0.17315151515151517,-0.009857142857142858
27,B000944,0.15838888888888888,-0.07125806451612904,0.2057758620689655,0.2145714285714286,0.09625806451612903,0.15119999999999997
28,B001135,0.1618125,-0.10994736842105263,0.12942465753424662,0.028954545454545424,0.07659375,0.13999999999999993
29,B001227,-0.047464285714285716,0.04975757575757575,0.021917721518987316,-0.016540983606557383,0.047589285714285744,0.03866666666666666
30,B001230,0.17249999999999996,-0.0457,0.17017460317460317,0.18988888888888894,0.06348387096774193,0.15119999999999997
31,B001236,0.21427777777777773,-0.12564102564102564,0.10348484848484846,0.0007999999999999729,0.07059375,0.1320555555555555
32,B001242,-0.13844444444444445,0.23532,-0.0018082191780822048,-0.11628205128205128,0.06015000000000005,-0.011500000000000002
33,B001243,-0.03318181818181818,-0.003480000000000015,0.06422131147540983,-0.11484671532846714,-0.05540789473684211,-0.003666666666666667
34,B001244,-0.126,-0.12375,-0.07242857142857141,-0.3294,0.34714285714285714,-0.06275
35,B001248,0.02102439024390244,0.020231481481481482,0.0666764705882353,-0.10545517241379312,-0.052682352941176465,0.0215
36,B001250,0.018861111111111092,0.035509433962264136,0.08010077519379846,-0.09082312925170069,-0.05694186046511628,0.022368421052631583
37,B001251,-0.07876,0.057568421052631574,0.02256874999999999,-0.016940740740740732,0.016892307692307682,0.04845454545454546
38,B001252,-0.029909090909090916,0.23532,-0.007948275862068964,-0.1363111111111111,-0.00423999999999997,-0.02433333333333333
39,B001255,-0.07033333333333334,0.13538095238095238,0.02418681318681318,-0.09224691358024695,0.046775510204081626,-0.016454545454545458
40,B001256,0.15617391304347827,0.2021739130434783,-0.02179545454545455,-0.19803225806451616,-0.012952380952380946,-0.0502
41,B001257,-0.02835714285714285,0.03336206896551723,0.06724087591240874,-0.09098675496688746,-0.033176470588235314,0.0215
42,B001259,-0.1724375,0.26740909090909093,-0.006733333333333332,-0.10975675675675675,0.0646818181818182,-0.011500000000000002
43,B001260,-0.027382352941176472,0.02671698113207546,0.036235772357723586,-0.08880141843971634,-0.0476,0.0215
44,B001261,0.09376923076923074,-0.1450810810810811,0.10685915492957747,-0.02884210526315791,0.0592258064516129,0.1320555555555555
45,B001262,0.07486363636363634,-0.03535714285714286,-0.0682439024390244,-0.20463333333333336,-0.24384615384615388,0.16949999999999998
46,B001265,0.34687499999999993,0.10733333333333334,0.141875,0.3672000000000001,0.22974999999999998,0.09899999999999999
